food_subgroup
Herbs
Cabbage
Cabbages
Tropical fruits
Onion-family vegetables
Nuts
Nut
Spices
Root vegetable
Root vegetables
Shoot vegetable
Shoot vegetables
Cereal
Cereals
Leaf vegetable
Leaf vegetables
Oilseed crops
Peas
Tea
Teas
Gourd
Gourds
Citrus
Coffee
Pomes
Berry
Berries
Other fruits
Soy
Tubers
Lentils
Other pulses
Bean
Beans
Drupes
Stalk vegetable
Stalk vegetables
Cocoa
Fermented beverages
Other breads
Cereal product
Cereal products
Soy product
Soy products
Dough
Doughs
Distilled beverages
Fortified wines
Alcoholic beverages
Mollusk
Mollusks
Seaweed
Crustacean
Crustaceans
Fish
Fishes
Cetacean
Cetaceans
Bovine
Bovines
Swine
Seed
Other seeds
Other vegetables
Poultry
Venison
Equine
Equines
Other aquatic foods
Pinnipeds
Lagomorphs
Ovis
Caprae
Mushroom
Mushrooms
Amphibian
Amphibians
Fermented milk products
Unfermented milk
Unfermented milks
Egg
Eggs
Frozen dessert
Frozen desserts
Other confectioneries
Candy
Candies
Seasoning
Seasonings
Dessert
Desserts
Other dishes
Snack foods
Flat breads
Dressing
Dressings
Sauce
Sauces
Other milk products
Substitutes
Sugar
Sugars
Ground meat
Condiments
Baking goods
Fruits
Fruit
Fruit products
Water
Waters
Fish products
Other beverages
Baby foods
Vegetable products
Mediterranean Diet
Proteins
Carbs
Carb
Protein
Animal fat
Animal fats
Spread
Spreads
Herb and spice mixtures
Cocoa products
Fermented milks
Leavened breads
Roe
Nutritional beverage
Nutritional beverages
Tex-Mex cuisine
Sandwich
Sandwiches
Milk desserts
Asian cuisine
Herbal tea
Herbal teas
Pasta dishes
Coffee products
Mexican cuisine
Potato dishes
American cuisine
Wrappers
Vegetable fat
Vegetable fats
Latin American cuisine
Bread products
Sweet breads
Jewish cuisine
Levantine cuisine
Brassicas
Cereals and cereal products
Cocoa and cocoa products
Coffee and coffee products
Milk and milk products
Fats
Fat
Oils
Oil
Fats and oils
Spice
Herbs and Spices
Pulses
Beverages
Green vegetables
Bivalvia
Vegetables
Vegetable
Meat
Meats
Cheese
Cheeses
Legume
Legumes
